,Cancel,Delay 1 to 2 hours,Delay 30 mins to 1 hours,Delay 5 to 30 mins,Delay more than 2 hours,On time
Clear,31,57,182,1017,25,1513
Overcast,4,7,12,64,6,106
Partially cloudy,343,620,1889,11899,279,17086
Rain,0,0,5,21,1,32
"Rain, Partially cloudy",3,27,87,580,8,798
