,Cancel,Delay 1 to 2 hours,Delay 30 mins to 1 hours,Delay 5 to 30 mins,Delay more than 2 hours,On time
Clear,31,73,208,790,27,1770
Overcast,2,10,14,70,6,178
Partially cloudy,339,704,2018,8398,327,20811
Rain,0,0,0,5,0,5
"Rain, Partially cloudy",6,33,95,262,9,519
