,Cancel,Delay 1 to 2 hours,Delay 30 mins to 1 hours,Delay 5 to 30 mins,Delay more than 2 hours,On time
codeshare flight,118,366,1103,4783,180,11914
interline flight,260,454,1232,4742,189,11369
