,Cancel,Delay 1 to 2 hours,Delay 30 mins to 1 hours,Delay 5 to 30 mins,Delay more than 2 hours,On time
codeshare flight,118,355,1122,7171,164,9613
interline flight,263,356,1053,6410,155,9922
